咪咕,#genre#
CCTV1,http://39.134.66.66/TVOD/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.66.66/TVOD/88888888/224/3221225706/index.m3u8
CCTV2,http://39.134.66.66/TVOD/88888888/224/3221225599/index.m3u8
CCTV3,http://39.134.66.66/TVOD/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.66.66/TVOD/88888888/224/3221225797/index.m3u8
CCTV5,http://39.134.66.66/TVOD/88888888/224/3221225818/index.m3u8
CCTV5+,http://39.134.66.66/TVOD/88888888/224/3221225507/index.m3u8
CCTV6,http://39.134.66.66/TVOD/88888888/224/3221225814/index.m3u8
CCTV8,http://39.134.66.66/TVOD/88888888/224/3221225795/index.m3u8
CCTV9,http://39.134.66.66/TVOD/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.66.66/TVOD/88888888/224/3221225677/index.m3u8
CCTV13,http://39.134.66.66/TVOD/88888888/224/3221225812/index.m3u8
CCTV13,rtmp://live-play.cctvnews.cctv.com/cctv/merge_cctv13

CCTV14,http://39.134.66.66/TVOD/88888888/224/3221225674/index.m3u8
CCTV15,http://39.134.66.66/TVOD/88888888/224/3221225513/index.m3u8

广东卫视,http://39.134.66.110/TVOD/88888888/224/3221225966/index.m3u8
广东卫视,http://39.134.66.66/TVOD/88888888/224/3221225966/index.m3u8
湖南卫视,http://39.134.66.66/TVOD/88888888/224/3221225506/index.m3u8

浙江卫视,http://39.134.66.66/TVOD/88888888/224/3221225514/index.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8

江苏卫视,http://39.134.66.66/TVOD/88888888/224/3221225503/index.m3u8
东方卫视,http://39.134.66.66/TVOD/88888888/224/3221225672/index.m3u8
河南卫视,http://39.134.66.110/TVOD/88888888/224/3221225988/index.m3u8
河南卫视,http://39.134.66.66/TVOD/88888888/224/3221225988/index.m3u8

北京卫视,http://39.134.66.66/TVOD/88888888/224/3221225678/index.m3u8
湖北卫视,http://39.134.66.66/TVOD/88888888/224/3221225569/index.m3u8
深圳卫视,http://39.134.66.66/TVOD/88888888/224/3221225668/index.m3u8

广东,#genre#
广东体育,http://116.21.120.40:4433/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://116.21.123.204:4433/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0
广东体育,http://219.137.29.178:4433/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0

广东新闻,http://116.21.120.40:4433/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
广东新闻,http://116.21.123.204:4433/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0
广东新闻,http://219.137.29.178:4433/tsfile/live/1005_1.m3u8?key=txiptv&playlive=0&authid=0

大湾区卫视,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8
广东珠江,http://116.21.120.40:4433/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
广东珠江,http://116.21.123.204:4433/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
广东珠江,http://219.137.29.178:4433/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
广东珠江,http://61.141.202.118:9901/tsfile/live/0125_3.m3u8?key=txiptv&playlive=0&authid=0
广东珠江,http://121.33.239.242:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0



咪咕体育,#genre#

咪咕直播-1,http://39.134.66.66/PLTV/88888888/224/3221225611/index.m3u8
咪咕直播-2,http://39.134.66.66/PLTV/88888888/224/3221225613/index.m3u8
咪咕直播-3,http://39.134.66.66/PLTV/88888888/224/3221225619/index.m3u8
咪咕直播-4,http://39.134.66.66/PLTV/88888888/224/3221225620/index.m3u8
咪咕直播-5,http://39.134.66.66/PLTV/88888888/224/3221225639/index.m3u8
咪咕直播-6,http://39.134.66.66/PLTV/88888888/224/3221225641/index.m3u8
咪咕直播-7,http://39.134.66.66/PLTV/88888888/224/3221225643/index.m3u8
咪咕直播-8,http://39.134.66.66/PLTV/88888888/224/3221225645/index.m3u8
咪咕直播-9,http://39.134.66.66/PLTV/88888888/224/3221225647/index.m3u8
咪咕直播-10,http://39.134.66.66/PLTV/88888888/224/3221225648/index.m3u8
咪咕直播-11,http://39.134.66.66/PLTV/88888888/224/3221226469/index.m3u8
咪咕直播-12,http://39.134.66.66/PLTV/88888888/224/3221226472/index.m3u8
咪咕直播-13,http://39.134.66.66/PLTV/88888888/224/3221225652/index.m3u8
咪咕直播-14,http://39.134.66.66/PLTV/88888888/224/3221225653/index.m3u8
咪咕直播-15,http://39.134.66.66/PLTV/88888888/224/3221225654/index.m3u8
咪咕直播-16,http://39.134.66.66/PLTV/88888888/224/3221225658/index.m3u8
咪咕直播-17,http://39.134.66.66/PLTV/88888888/224/3221225660/index.m3u8
咪咕直播-18,http://39.134.66.66/PLTV/88888888/224/3221225662/index.m3u8
咪咕直播-19,http://39.134.66.66/PLTV/88888888/224/3221225733/index.m3u8
咪咕直播-20,http://39.134.66.66/PLTV/88888888/224/3221225735/index.m3u8
咪咕直播-21,http://39.134.66.66/PLTV/88888888/224/3221225737/index.m3u8
咪咕直播-22,http://39.134.66.66/PLTV/88888888/224/3221225739/index.m3u8
咪咕直播-23,http://39.134.66.66/PLTV/88888888/224/3221225754/index.m3u8
咪咕直播-24,http://39.134.66.66/PLTV/88888888/224/3221225756/index.m3u8
咪咕直播-25,http://39.134.66.66/PLTV/88888888/224/3221225758/index.m3u8
咪咕直播-26,http://39.134.66.66/PLTV/88888888/224/3221225760/index.m3u8
咪咕直播-27,http://39.134.66.66/PLTV/88888888/224/3221225895/index.m3u8
咪咕直播-28,http://39.134.66.66/PLTV/88888888/224/3221225897/index.m3u8
咪咕直播-29,http://39.134.66.66/PLTV/88888888/224/3221225899/index.m3u8
咪咕直播-30,http://39.134.66.66/PLTV/88888888/224/3221225901/index.m3u8
咪咕直播-31,http://39.134.66.66/PLTV/88888888/224/3221225903/index.m3u8
咪咕直播-32,http://39.134.66.66/PLTV/88888888/224/3221226147/index.m3u8
咪咕直播-33,http://39.134.66.66/PLTV/88888888/224/3221225905/index.m3u8
咪咕直播-34,http://39.134.66.66/PLTV/88888888/224/3221226398/index.m3u8
咪咕直播-35,http://39.134.66.66/PLTV/88888888/224/3221225910/index.m3u8
咪咕直播-36,http://39.134.66.66/PLTV/88888888/224/3221225912/index.m3u8
咪咕直播-37,http://39.134.66.66/PLTV/88888888/224/3221225914/index.m3u8
咪咕直播-38,http://39.134.66.66/PLTV/88888888/224/3221226027/index.m3u8
咪咕直播-39,http://39.134.66.66/PLTV/88888888/224/3221226031/index.m3u8
咪咕直播-40,http://39.134.66.66/PLTV/88888888/224/3221226046/index.m3u8
咪咕直播-41,http://39.134.66.66/PLTV/88888888/224/3221226053/index.m3u8
咪咕直播-42,http://39.134.66.66/PLTV/88888888/224/3221226124/index.m3u8

咪咕直播4K-1,http://39.134.66.66/PLTV/88888888/224/3221225655/index.m3u8
咪咕直播4K-2,http://39.134.66.66/PLTV/88888888/224/3221225651/index.m3u8


备用咪咕,#genre#
北京冬奥纪实,http://39.134.66.66/PLTV/88888888/224/3221225670/index.m3u8
北京卡酷少儿,http://39.134.66.66/PLTV/88888888/224/3221225562/index.m3u8
北京卫视,http://39.134.66.66/PLTV/88888888/224/3221225678/index.m3u8
重庆卫视,http://39.134.66.66/PLTV/88888888/224/3221225502/index.m3u8
大庆公共,http://39.134.66.66/PLTV/88888888/224/3221225734/index.m3u8
大庆新闻综合,http://39.134.66.66/PLTV/88888888/224/3221225736/index.m3u8
东方卫视,http://39.134.66.66/PLTV/88888888/224/3221225672/index.m3u8
东南卫视,http://39.134.66.66/PLTV/88888888/224/3221225500/index.m3u8
甘肃卫视,http://39.134.66.66/PLTV/88888888/224/3221225584/index.m3u8
贵州卫视,http://39.134.66.66/PLTV/88888888/224/3221225576/index.m3u8
哈尔滨生活,http://39.134.66.66/PLTV/88888888/224/3221225698/index.m3u8
哈尔滨新闻综合,http://39.134.66.66/PLTV/88888888/224/3221225684/index.m3u8
哈尔滨影视,http://39.134.66.66/PLTV/88888888/224/3221225700/index.m3u8
哈尔滨娱乐,http://39.134.66.66/PLTV/88888888/224/3221225699/index.m3u8
哈尔滨资讯,http://39.134.66.66/PLTV/88888888/224/3221225697/index.m3u8
海南卫视,http://39.134.66.66/PLTV/88888888/224/3221225530/index.m3u8
河北卫视,http://39.134.66.66/PLTV/88888888/224/3221225495/index.m3u8
鹤岗公共,http://39.134.66.66/PLTV/88888888/224/3221225787/index.m3u8
鹤岗新闻综合,http://39.134.66.66/PLTV/88888888/224/3221225785/index.m3u8
黑莓电竞,http://39.134.66.66/PLTV/88888888/224/3221225559/index.m3u8
黑莓电影,http://39.134.66.66/PLTV/88888888/224/3221225681/index.m3u8
黑莓动画,http://39.134.66.66/PLTV/88888888/224/3221225529/index.m3u8
湖北卫视,http://39.134.66.66/PLTV/88888888/224/3221225569/index.m3u8
湖南金鹰卡通,http://39.134.66.66/PLTV/88888888/224/3221225561/index.m3u8
湖南卫视,http://39.134.66.66/PLTV/88888888/224/3221225506/index.m3u8
江苏好享购物,http://39.134.66.66/PLTV/88888888/224/3221225695/index.m3u8
江苏卫视,http://39.134.66.66/PLTV/88888888/224/3221225503/index.m3u8
江苏优漫卡通,http://39.134.66.66/PLTV/88888888/224/3221225556/index.m3u8
辽宁卫视,http://39.134.66.66/PLTV/88888888/224/3221225499/index.m3u8
咪咕视频1,http://39.134.66.66/PLTV/88888888/224/3221225643/index.m3u8
咪咕视频2,http://39.134.66.66/PLTV/88888888/224/3221225648/index.m3u8
咪咕视频3,http://39.134.66.66/PLTV/88888888/224/3221225639/index.m3u8
咪咕视频4,http://39.134.66.66/PLTV/88888888/224/3221225652/index.m3u8
咪咕视频5,http://39.134.66.66/PLTV/88888888/224/3221225647/index.m3u8
咪咕视频6,http://39.134.66.66/PLTV/88888888/224/3221225645/index.m3u8
咪咕视频7,http://39.134.66.66/PLTV/88888888/224/3221225650/index.m3u8
咪咕视频8,http://39.134.66.66/PLTV/88888888/224/3221225641/index.m3u8
咪咕视频9,http://39.134.66.66/PLTV/88888888/224/3221225617/index.m3u8
咪咕视频10,http://39.134.66.66/PLTV/88888888/224/3221225651/index.m3u8
咪咕视频11,http://39.134.66.66/PLTV/88888888/224/3221225619/index.m3u8
咪咕视频12,http://39.134.66.66/PLTV/88888888/224/3221225611/index.m3u8
咪咕视频13,http://39.134.66.66/PLTV/88888888/224/3221225649/index.m3u8
咪咕视频14,http://39.134.66.66/PLTV/88888888/224/3221225620/index.m3u8
咪咕视频15,http://39.134.66.66/PLTV/88888888/224/3221225613/index.m3u8
咪咕视频16,http://39.134.66.66/PLTV/88888888/224/3221225658/index.m3u8
咪咕视频8M1,http://39.134.66.66/PLTV/88888888/224/3221225762/index.m3u8
咪咕视频8M2,http://39.134.66.66/PLTV/88888888/224/3221225749/index.m3u8
咪咕视频8M3,http://39.134.66.66/PLTV/88888888/224/3221225758/index.m3u8
咪咕视频8M4,http://39.134.66.66/PLTV/88888888/224/3221225764/index.m3u8
咪咕视频8M5,http://39.134.66.66/PLTV/88888888/224/3221225747/index.m3u8
咪咕视频8M6,http://39.134.66.66/PLTV/88888888/224/3221225766/index.m3u8
咪咕视频8M7,http://39.134.66.66/PLTV/88888888/224/3221225760/index.m3u8
咪咕视频8M8,http://39.134.66.66/PLTV/88888888/224/3221225756/index.m3u8
咪咕视频8M9,http://39.134.66.66/PLTV/88888888/224/3221225745/index.m3u8
咪咕视频8M10,http://39.134.66.66/PLTV/88888888/224/3221225735/index.m3u8
咪咕视频8M11,http://39.134.66.66/PLTV/88888888/224/3221225741/index.m3u8
咪咕视频8M12,http://39.134.66.66/PLTV/88888888/224/3221225739/index.m3u8
咪咕视频8M13,http://39.134.66.66/PLTV/88888888/224/3221225654/index.m3u8
咪咕视频 30M2160HDR,http://39.134.66.66/PLTV/88888888/224/3221225655/index.m3u8
咪咕直播,http://39.134.66.66/PLTV/88888888/224/3221225782/index.m3u8
内蒙古卫视,http://39.134.66.66/PLTV/88888888/224/3221225577/index.m3u8
宁夏卫视,http://39.134.66.66/PLTV/88888888/224/3221225579/index.m3u8
七台河公共,http://39.134.66.66/PLTV/88888888/224/3221225800/index.m3u8
青海安多卫视,http://39.134.66.66/PLTV/88888888/224/3221225531/index.m3u8
青海卫视,http://39.134.66.66/PLTV/88888888/224/3221225573/index.m3u8
求索动物8M,http://39.134.66.66/PLTV/88888888/224/3221225730/index.m3u8
求索纪录8M,http://39.134.66.66/PLTV/88888888/224/3221225713/index.m3u8
求索科学8M,http://39.134.66.66/PLTV/88888888/224/3221225728/index.m3u8
求索生活8M,http://39.134.66.66/PLTV/88888888/224/3221225715/index.m3u8
山东教育卫视,http://39.134.66.66/PLTV/88888888/224/3221225558/index.m3u8
山西卫视,http://39.134.66.66/PLTV/88888888/224/3221225496/index.m3u8
陕西卫视,http://39.134.66.66/PLTV/88888888/224/3221225567/index.m3u8
上海哈哈炫动,http://39.134.66.66/PLTV/88888888/224/3221225534/index.m3u8
上海纪实人文,http://39.134.66.66/PLTV/88888888/224/3221225673/index.m3u8
深圳卫视,http://39.134.66.66/PLTV/88888888/224/3221225668/index.m3u8
四川康巴卫视,http://39.134.66.66/PLTV/88888888/224/3221225527/index.m3u8
天津卫视,http://39.134.66.66/PLTV/88888888/224/3221225665/index.m3u8
西藏卫视,http://39.134.66.66/PLTV/88888888/224/3221225570/index.m3u8
新疆卫视,http://39.134.66.66/PLTV/88888888/224/3221225582/index.m3u8
浙江卫视,http://39.134.66.66/PLTV/88888888/224/3221225514/index.m3u8
中国教育1,http://39.134.66.66/PLTV/88888888/224/3221225563/index.m3u8
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.66.66/PLTV/88888888/224/3221225706/index.m3u8
CCTV2,http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV3,http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV4,http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV5,http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV5+,http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV6,http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV7,http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV8,http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV9,http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV10,http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV11,http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8
CCTV12,http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV13,http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV14,http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV15,http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8
CCTV17,http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8
CGTN,http://39.134.66.66/PLTV/88888888/224/3221225510/index.m3u8
CGTN纪录,http://39.134.66.66/PLTV/88888888/224/3221225509/index.m3u8
NewTV爱情喜剧,http://39.134.66.66/PLTV/88888888/224/3221225533/index.m3u8
NewTV超级电视剧,http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8
NewTV超级电影,http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
NewTV超级体育,http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8
NewTV超级综艺,http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
NewTV潮妈辣婆,http://39.134.66.66/PLTV/88888888/224/3221225542/index.m3u8
NewTV东北热剧,http://39.134.66.66/PLTV/88888888/224/3221225679/index.m3u8
NewTV动作电影,http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
NewTV古装剧场,http://39.134.66.66/PLTV/88888888/224/3221225524/index.m3u8
NewTV家庭剧场,http://39.134.66.66/PLTV/88888888/224/3221225538/index.m3u8
NewTV家庭剧场,http://39.134.66.66/PLTV/88888888/224/3221225682/index.m3u8
NewTV金牌综艺,http://39.134.66.66/PLTV/88888888/224/3221225525/index.m3u8
NewTV惊悚悬疑,http://39.134.66.66/PLTV/88888888/224/3221225553/index.m3u8
NewTV精品大剧,http://39.134.66.66/PLTV/88888888/224/3221225536/index.m3u8
NewTV精品纪录,http://39.134.66.66/PLTV/88888888/224/3221225545/index.m3u8
NewTV精品体育,http://39.134.66.66/PLTV/88888888/224/3221225526/index.m3u8
NewTV军旅剧场,http://39.134.66.66/PLTV/88888888/224/3221225560/index.m3u8
NewTV军事评论,http://39.134.66.66/PLTV/88888888/224/3221225535/index.m3u8
NewTV明星大片,http://39.134.66.66/PLTV/88888888/224/3221225550/index.m3u8
NewTV农业致富,http://39.134.66.66/PLTV/88888888/224/3221225552/index.m3u8
NewTV武搏世界,http://39.134.66.66/PLTV/88888888/224/3221225547/index.m3u8
NewTV炫舞未来,http://39.134.66.66/PLTV/88888888/224/3221225646/index.m3u8
NewTV怡伴健康,http://39.134.66.66/PLTV/88888888/224/3221225571/index.m3u8
NewTV中国功夫,http://39.134.66.66/PLTV/88888888/224/3221225604/index.m3u8

备用2广东香洲,#genre#
CCTV1综合,http://183.63.15.42:9901/tsfile/live/37321_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2财经,http://183.63.15.42:9901/tsfile/live/37322_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3综艺,http://183.63.15.42:9901/tsfile/live/37323_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4中文国际,http://183.63.15.42:9901/tsfile/live/37324_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5体育,http://183.63.15.42:9901/tsfile/live/37325_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6电影,http://183.63.15.42:9901/tsfile/live/37326_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7国防军事,http://183.63.15.42:9901/tsfile/live/37327_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8电视剧,http://183.63.15.42:9901/tsfile/live/37328_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9纪录,http://183.63.15.42:9901/tsfile/live/37329_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10科教,http://183.63.15.42:9901/tsfile/live/37330_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11戏曲,http://183.63.15.42:9901/tsfile/live/37331_1.m3u8?key=txiptv&playlive=1&authid=0
